Area,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28790252.0,26011098.0,29469271.0,28630215.0,30751001.0,28851535.0,27527874.0,29117417.0,27054322.0,29404767.0,28025026.0,30682327.0,28216258.0,28600493.0,31007608.0,27980865.0,24824443.0,31408634.0,26899759.0
Belgium-Luxembourg,16155361.0,15046508.0,14576294.0,18277342.0,15219324.0,14827265.0,20063569.0,19465075.0,19116672.0,18402832.0,22237113.0,19944301.0,22340763.0,21407543.0,19756958.0,18441546.0,19877271.0,22091565.0,22926688.0,21550572.0,25097774.0,27959786.0,20846654.0,24172537.0,24286948.0,24396607.0,23110070.0,24761670.0,25214240.0,25440045.0,24438639.0,27080969.0,28250653.0,25753495.0,26470853.0,27957227.0,28921847.0,26205378.0,31259551.0,,,,,,,,,,,,,,,,,,,
Belize,654242.0,554414.0,567027.0,764712.0,829062.0,1017858.0,1301773.0,1482413.0,1268096.0,1539988.0,1500520.0,1580585.0,1695252.0,1923784.0,1807956.0,1470300.0,2113522.0,2509072.0,2207251.0,2366707.0,2292242.0,2552060.0,2520709.0,2353740.0,2245754.0,2082123.0,2078116.0,2001843.0,2319176.0,2662871.0,2650355.0,2847663.0,2680188.0,2978406.0,2834405.0,3032098.0,3273884.0,3198667.0,3323774.0,3399266.0,3232834.0,3271168.0,3154000.0,3480718.0,3222997.0,3538893.0,3599822.0,3191454.0,3085223.0,3366155.0,2773345.0,3463465.0,3292708.0,3550413.0,3458020.0,3882991.0,4346745.0,4263922.0
Benin,3708784.0,3623274.0,3583857.0,3699454.0,3837978.0,3881539.0,4103373.0,4219158.0,4153538.0,4237778.0,4311695.0,4402171.0,4502001.0,4216622.0,4139056.0,4619813.0,4637366.0,5245114.0,5394712.0,4888110.0,4811883.0,4866556.0,4773850.0,5948836.0,5931455.0,6202537.0,5339822.0,6767368.0,7066888.0,7183261.0,7917037.0,7746304.0,8437510.0,8709168.0,9470549.0,10447052.0,11793041.0,12168482.0,12962266.0,13625935.0,14220668.0,16639772.0,16022349.0,16698060.0,15837742.0,14468678.0,14077767.0,17877451.0,19531078.0,19214190.0,20583676.0,21646422.0,23513869.0,24504439.0,22758156.0,24387946.0,25707050.0,26622140.0
Bermuda,6410.0,5836.0,6688.0,7128.0,7736.0,7614.0,6672.0,6416.0,4820.0,7814.0,5094.0,4586.0,5826.0,6306.0,6044.0,6426.0,6048.0,6300.0,6588.0,5892.0,6250.0,6686.0,6700.0,6416.0,6792.0,6760.0,6772.0,7478.0,8718.0,8512.0,8542.0,8604.0,8504.0,8452.0,8800.0,7990.0,8705.0,9195.0,9505.0,9695.0,9838.0,8656.0,9322.0,9204.0,8968.0,9226.0,9734.0,9848.0,10463.0,10418.0,10577.0,11138.0,10772.0,10799.0,10745.0,10735.0,10806.0,10910.0
Bhutan,347869.0,359313.0,370050.0,379994.0,390021.0,400249.0,410913.0,423040.0,433154.0,443181.0,453535.0,464242.0,474546.0,485650.0,496094.0,505648.0,516792.0,529606.0,541420.0,558856.0,581125.0,605417.0,623899.0,697589.0,624914.0,628401.0,710802.0,556760.0,561146.0,639618.0,598217.0,607630.0,642272.0,657739.0,689066.0,695099.0,686778.0,668615.0,727366.0,605066.0,639148.0,619631.0,676442.0,809145.0,987165.0,999961.0,1017440.0,810780.0,793413.0,841818.0,1042043.0,910840.0,849820.0,841757.0,812000.0,936809.0,942848.0,925040.0
Bolivia (Plurinational State of),4494087.0,4560780.0,5319265.0,5830896.0,5755543.0,5834656.0,6212802.0,7011331.0,7292434.0,7550755.0,7126950.0,8105858.0,9555920.0,9665581.0,10703350.0,11950882.0,11816705.0,12177051.0,11618789.0,11910808.0,12350507.0,12407906.0,9511733.0,11914608.0,13316275.0,12886133.0,12337722.0,11950615.0,12269674.0,15161969.0,15256146.0,13978907.0,15596621.0,17023194.0,18764438.0,18467375.0,17824463.0,18578308.0,18835694.0,19717761.0,20476863.0,22629057.0,23934118.0,24322661.0,24912925.0,27288930.0,27523509.0,28599022.0,33541362.0,29502695.0,30492635.0,35159745.0,37457386.0,36819296.0,37757061.0,37896854.0,38160803.0,43336207.0
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4671371.0,4289533.0,3761772.0,3652295.0,3840766.0,4875023.0,5323344.0,5370000.0,4040564.0,4789806.0,5245241.0,4095998.0,6006797.0,5738314.0,5728833.0,4992042.0,5856268.0,5914298.0,5218329.0,5303118.0,4454080.0,5695860.0,4725209.0,5295131.0,6665581.0,5185493.0,6988721.0
Botswana,262587.0,155067.0,164915.0,164413.0,161448.0,205898.0,268665.0,197077.0,250950.0,173598.0,360428.0,316497.0,230424.0,389030.0,311668.0,431900.0,342484.0,273782.0,221248.0,292550.0,312677.0,246964.0,237938.0,221470.0,248640.0,257828.0,258715.0,425388.0,380182.0,345724.0,309321.0,250274.0,304707.0,332365.0,345463.0,415451.0,326978.0,269759.0,290019.0,302508.0,317232.0,343180.0,348197.0,327900.0,354726.0,363538.0,346256.0,371481.0,381034.0,416715.0,497586.0,394182.0,351564.0,423593.0,460040.0,436457.0,412411.0,449527.0
Brazil,227852739.0,242503614.0,252322806.0,262090724.0,295865026.0,290210535.0,307844516.0,312297970.0,314225409.0,331581282.0,337725921.0,352981273.0,362450765.0,383709632.0,385211296.0,423526170.0,464260008.0,459890662.0,489752310.0,541312785.0,558196140.0,620018214.0,663910242.0,698656477.0,774661174.0,744409237.0,830303461.0,814223397.0,830213639.0,814587625.0,816018781.0,862914599.0,812549624.0,926611972.0,969069869.0,954546626.0,1012813077.0,1038156336.0,1046272979.0,1037659260.0,1102330727.0,1155521247.0,1275969555.0,1314387414.0,1320752342.0,1444704192.0,1631517900.0,1851827573.0,1908347899.0,2007399601.0,2080329737.0,2035847156.0,2190716726.0,2149670676.0,2217378544.0,2197795020.0,2299330098.0,2256311771.0
British Virgin Islands,45.0,100.0,111.0,,,675.0,777.0,777.0,755.0,751.0,851.0,871.0,911.0,908.0,970.0,992.0,1035.0,1080.0,1122.0,1204.0,1264.0,1296.0,1306.0,1331.0,1341.0,1375.0,1377.0,1409.0,1068.0,405.0,781.0,871.0,919.0,902.0,930.0,955.0,974.0,992.0,976.0,984.0,989.0,996.0,995.0,1003.0,1018.0,1022.0,1036.0,1082.0,1113.0,1150.0,1188.0,1261.0,1262.0,1250.0,1273.0,1283.0,1301.0,1321.0
Brunei Darussalam,33370.0,34831.0,31496.0,28774.0,28497.0,30781.0,36609.0,37512.0,42311.0,41934.0,37732.0,37605.0,43659.0,54191.0,54204.0,46754.0,39250.0,37838.0,39159.0,35305.0,35311.0,36607.0,40037.0,35894.0,25497.0,27434.0,26377.0,28720.0,27218.0,28622.0,28311.0,27284.0,30080.0,31268.0,34349.0,36422.0,35458.0,34160.0,38638.0,44205.0,45083.0,46823.0,48099.0,51225.0,46886.0,42056.0,42146.0,43069.0,44471.0,46124.0,47775.0,48433.0,49258.0,50534.0,52072.0,54991.0,54405.0,52031.0
Bulgaria,20801028.0,21161594.0,21956755.0,25223106.0,23603576.0,30816046.0,28523901.0,24840112.0,27531421.0,27962674.0,28324821.0,31327605.0,29424175.0,27354593.0,29385441.0,32521605.0,29006239.0,29231150.0,31827312.0,28347830.0,30685119.0,35012297.0,27723877.0,32093669.0,22107999.0,29441870.0,25986526.0,26732454.0,31139537.0,26883548.0,28510984.0,22843577.0,17680086.0,20823017.0,23282735.0,14219970.0,19753415.0,18605643.0,18497841.0,15484848.0,18063828.0,20111777.0,15025745.0,22596980.0,17234249.0,18043458.0,12571251.0,21377510.0,19429431.0,22886749.0,23205580.0,20823842.0,27571023.0,28309586.0,25899544.0,27287293.0,29414656.0,29793738.0
Burkina Faso,2431274.0,2800334.0,2819248.0,3100484.0,2974747.0,3130946.0,3236024.0,3425682.0,3294516.0,3339706.0,2950269.0,2950738.0,2806347.0,3582842.0,4254341.0,3827173.0,4131752.0,4394620.0,4625378.0,4288543.0,4852133.0,4797775.0,4640085.0,4663075.0,6055319.0,6885913.0,6143111.0,7325062.0,7002436.0,6087246.0,8244566.0,8199994.0,8391804.0,7793909.0,7903256.0,8627900.0,7676225.0,9453228.0,9497222.0,7872087.0,11031688.0,11058400.0,12410764.0,10677640.0,12983960.0,13176704.0,10599745.0,15270286.0,13006130.0,15656783.0,13239972.0,16667208.0,17437046.0,16992590.0,15979684.0,17126736.0,15823909.0,16914008.0
Burundi,4888942.0,4891995.0,4974692.0,5336508.0,5349453.0,5362071.0,5520892.0,5639504.0,5580166.0,5570376.0,5698195.0,5151728.0,5808953.0,5396837.0,5885254.0,5945288.0,6124770.0,6074556.0,5917394.0,5877906.0,6371040.0,6224970.0,6166942.0,6347509.0,7060586.0,7463122.0,7668571.0,7924688.0,7822714.0,8165507.0,8467889.0,8710848.0,8496882.0,7441367.0,7760471.0,8064780.0,8314741.0,7710545.0,8153621.0,7974859.0,8607021.0,9033231.0,9099339.0,8961389.0,8830162.0,8843543.0,9070795.0,9358226.0,9761846.0,10039287.0,9821327.0,9326934.0,14118730.0,12104139.0,11827141.0,12297463.0,11375342.0,13699723.0
Cabo Verde,119898.0,126668.0,127589.0,133694.0,144522.0,146998.0,155367.0,118902.0,119797.0,86193.0,74653.0,62839.0,70941.0,76121.0,79507.0,93235.0,96313.0,105116.0,119522.0,136022.0,103840.0,81868.0,78904.0,92344.0,96736.0,127502.0,197176.0,186142.0,179762.0,173198.0,142320.0,133864.0,141437.0,121890.0,122141.0,130759.0,122769.0,127869.0,203763.0,262154.0,255786.0,226787.0,240881.0,235974.0,226574.0,233224.0,244096.0,233762.0,221395.0,225689.0,253659.0,265271.0,273698.0,228219.0,237351.0,220012.0,202701.0,180444.0
Cambodia,8890886.0,7859119.0,9700332.0,10287604.0,9435509.0,9102143.0,9770918.0,11869598.0,9734569.0,13452222.0,9831680.0,7503324.0,5085967.0,3919383.0,5077168.0,5178940.0,4899260.0,4619648.0,3242655.0,6308837.0,5904933.0,7293988.0,7754911.0,5372313.0,6915634.0,7808392.0,7090961.0,9443578.0,9653570.0,9340236.0,9223640.0,9019331.0,9226801.0,8950559.0,12169115.0,12106378.0,12247716.0,12280650.0,14251746.0,14175565.0,14396151.0,13747116.0,16967460.0,15654588.0,21120705.0,25127171.0,27069839.0,31590365.0,33110901.0,36266635.0,45184515.0,46528413.0,46820690.0,46111763.0,45790377.0,48038350.0,49341106.0,49864037.0
Cameroon,7698805.0,8152134.0,9098108.0,9258780.0,8753487.0,8909622.0,10002274.0,10367629.0,9981177.0,10479675.0,10544326.0,11352904.0,11689428.0,13292930.0,13817597.0,12804789.0,13082764.0,13048107.0,13446407.0,14013031.0,14633607.0,15029116.0,14936563.0,15822241.0,17054252.0,18446880.0,16031210.0,15998004.0,16797895.0,18038322.0,17843102.0,18258944.0,19150377.0,19850923.0,21079868.0,21855628.0,21688537.0,22618774.0,23101265.0,23561101.0,24041120.0,24994334.0,25809574.0,26432737.0,31425051.0,32939216.0,34567910.0,35779722.0,39889488.0,44334336.0,46083930.0,48562855.0,49767730.0,51016114.0,54361966.0,55186485.0,54886748.0,55577346.0
Canada,45543885.0,70887119.0,81386915.0,70781964.0,79400053.0,92859640.0,73664094.0,83935580.0,87803336.0,77773905.0,97760451.0,87321569.0,90139606.0,78382595.0,93528316.0,105270383.0,106240647.0,110200392.0,99775528.0,106416065.0,124370833.0,132350083.0,119802229.0,114626430.0,126061372.0,145282269.0,136652089.0,102068175.0,125531224.0,145904950.0,142121533.0,132844951.0,144528869.0,145398085.0,149003078.0,161690473.0,150239695.0,159809234.0,170044824.0,160030864.0,131495068.0,115441747.0,152091789.0,162519861.0,168296675.0,163437510.0,161206335.0,188632546.0,179071914.0,174188199.0,181597329.0,191525392.0,239274999.0,205020787.0,215963008.0,235079215.0,236051049.0,233178830.0
Caribbean,192480837.0,151902511.0,142918743.0,153718997.0,175713069.0,152627029.0,176241390.0,158422993.0,158503222.0,238668371.0,182358325.0,164905657.0,169133646.0,175312550.0,170640582.0,178880279.0,190953072.0,209907165.0,221388987.0,192424769.0,197117221.0,213195265.0,204350293.0,217255477.0,193817129.0,194951206.0,199907082.0,208219353.0,219391436.0,215898609.0,212485664.0,186908626.0,140792795.0,135775682.0,115313447.0,135223733.0,131529295.0,113350134.0,119121237.0,127295716.0,120673192.0,126721498.0,103911045.0,109136617.0,79224914.0,75835614.0,79738913.0,82128321.0,82984858.0,77091947.0,80360074.0,86181491.0,90669395.0,95537915.0,97281854.0,94459780.0,101155930.0,100529719.0
Cayman Islands,,,,,,1243.0,1265.0,1267.0,1292.0,1300.0,1300.0,1315.0,1325.0,1275.0,1323.0,1338.0,1352.0,1334.0,1358.0,1482.0,1390.0,1444.0,1679.0,1412.0,1454.0,1059.0,1311.0,703.0,1205.0,798.0,1016.0,1241.0,1107.0,1028.0,1035.0,904.0,862.0,982.0,936.0,939.0,957.0,960.0,960.0,933.0,958.0,968.0,979.0,989.0,986.0,945.0,980.0,1003.0,1015.0,1004.0,1008.0,999.0,1004.0,1005.0
